"TMA São Paulo SECT 06
223010S 0463711W - 223328S 0460722W - 224913S 0455957W - 231244S 0465457W - 231721S 0470551W - 225833S 0470331W 
 

        FL245

     FL135",SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","120.850 MHZ PRI
121.500 MHZ EMERG
123.250 MHZ SRY","Separação composta poderá ser aplicada na APRX final da RWY 17 e/ou rampa de TKOF da RWY 35 de São Paulo Congonhas (SBSP), entre ACFT IFR e HEL VFR em voo na Área de Controle de Helicópteros. Separação composta mínima a ser empregada: 2,5 NM X 500 FT.
Compound separation may be applied on Final APRX of RWY 17 and/or TKOF slope at RWY 35 in São Paulo Congonhas (SBSP), between IFR ACFT and VFR HEL flying within the Helicopter Control Area. Minimum compound separation to be used: 2.5 NM X 500 FT."
"TMA São Paulo SECT 07
234635S 0463411W - 234244S 0452542W - 231833S 0453223W - 232551S 0454448W - 233341S 0462235W - 232737S 0462415W - 232453S 0462832W - 232703S 0463614W - 231244S 0465457W - 231721S 0470551W - 231759S 0470606W - 231933S 0470643W - 232217S 0470239W - 233724S 0464012W - 233757S 0463931W 
 

        FL245

     5500 FT AMSL",SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","119.375 MHZ PRI
121.500 MHZ EMERG
129.050 MHZ SRY","Separação composta poderá ser aplicada na APRX final da RWY 17 e/ou rampa de TKOF da RWY 35 de São Paulo Congonhas (SBSP), entre ACFT IFR e HEL VFR em voo na Área de Controle de Helicópteros. Separação composta mínima a ser empregada: 2,5 NM X 500 FT.
Compound separation may be applied on Final APRX of RWY 17 and/or TKOF slope at RWY 35 in São Paulo Congonhas (SBSP), between IFR ACFT and VFR HEL flying within the Helicopter Control Area. Minimum compound separation to be used: 2.5 NM X 500 FT."
"TMA São Paulo SECT 08
231244S 0465459W - 224913S 0455957W - 225830S 0455534W - 230308S 0454002W - 230219S 0453620W - 231833S 0453223W - 232551S 0454448W - 233341S 0462235W - 232737S 0462415W - 232453S 0462832W - 232703S 0463614W 
 

        FL245

     5500 FT AMSL",SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","120.450 MHZ PRI
121.500 MHZ EMERG
134.650 MHZ SRY","Separação composta poderá ser aplicada na APRX final da RWY 17 e/ou rampa de TKOF da RWY 35 de São Paulo Congonhas (SBSP), entre ACFT IFR e HEL VFR em voo na Área de Controle de Helicópteros. Separação composta mínima a ser empregada: 2,5 NM X 500 FT.
Compound separation may be applied on Final APRX of RWY 17 and/or TKOF slope at RWY 35 in São Paulo Congonhas (SBSP), between IFR ACFT and VFR HEL flying within the Helicopter Control Area. Minimum compound separation to be used: 2.5 NM X 500 FT."
"TMA São Paulo SECT 09
231933S 0470643W - 231759S 0470606W - 231721S 0470551W - 231244S 0465457W - 230420S 0460218W - 230703S 0460526W - 232126S 0455522W - 233151S 0464002W - 232932S 0464142W - 232217S 0470239W 
 

        FL100

     5500 FT AMSL",SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","119.150 MHZ SRY
121.500 MHZ EMERG
129.750 MHZ PRI","Separação composta poderá ser aplicada na APRX final da RWY 17 e/ou rampa de TKOF da RWY 35 de São Paulo Congonhas (SBSP), entre ACFT IFR e HEL VFR em voo na Área de Controle de Helicópteros. Separação composta mínima a ser empregada: 2,5 NM X 500 FT.
Compound separation may be applied on Final APRX of RWY 17 and/or TKOF slope at RWY 35 in São Paulo Congonhas (SBSP), between IFR ACFT and VFR HEL flying within the Helicopter Control Area. Minimum compound separation to be used: 2.5 NM X 500 FT."
"TMA São Paulo SECT 10
233151S 0464002W - 232932S 0464142W - 232217S 0470239W - 231721S 0470551W - 231759S 0470606W - 232948S 0470539W - 233351S 0465526W - 235921S 0463753W - 235346S 0462446W 
 

        FL100

     5500 FT AMSL",SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","119.050 MHZ SRY
121.500 MHZ EMERG
133.850 MHZ PRI","Separação composta poderá ser aplicada na APRX final da RWY 17 e/ou rampa de TKOF da RWY 35 de São Paulo Congonhas (SBSP), entre ACFT IFR e HEL VFR em voo na Área de Controle de Helicópteros. Separação composta mínima a ser empregada: 2,5 NM X 500 FT.
Compound separation may be applied on Final APRX of RWY 17 and/or TKOF slope at RWY 35 in São Paulo Congonhas (SBSP), between IFR ACFT and VFR HEL flying within the Helicopter Control Area. Minimum compound separation to be used: 2.5 NM X 500 FT."
"TMA São Paulo SECT 11
231513S 0470242W - 230512S 0465435W - 225459S 0470818W - 224919S 0470322W - 224049S 0471550W - 225653S 0472949W 
 

        FL100

     5500 FT AMSL",SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","119.250 MHZ PRI
121.400 MHZ SRY
121.500 MHZ EMERG","Separação composta poderá ser aplicada na APRX final da RWY 17 e/ou rampa de TKOF da RWY 35 de São Paulo Congonhas (SBSP), entre ACFT IFR e HEL VFR em voo na Área de Controle de Helicópteros. Separação composta mínima a ser empregada: 2,5 NM X 500 FT.
Compound separation may be applied on Final APRX of RWY 17 and/or TKOF slope at RWY 35 in São Paulo Congonhas (SBSP), between IFR ACFT and VFR HEL flying within the Helicopter Control Area. Minimum compound separation to be used: 2.5 NM X 500 FT."
"TMA São Paulo SECT 12
230219S 0453620W - 230308S 0454002W - 225830S 0455534W - 230420S 0460218W - 230703S 0460526W - 232126S 0455522W - 232418S 0454341W - 231453S 0453317W 
 

        FL100

     5500 FT AMSL",SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","121.500 MHZ EMERG
124.150 MHZ PRI
134.150 MHZ PRI","Separação composta poderá ser aplicada na APRX final da RWY 17 e/ou rampa de TKOF da RWY 35 de São Paulo Congonhas (SBSP), entre ACFT IFR e HEL VFR em voo na Área de Controle de Helicópteros. Separação composta mínima a ser empregada: 2,5 NM X 500 FT.
Compound separation may be applied on Final APRX of RWY 17 and/or TKOF slope at RWY 35 in São Paulo Congonhas (SBSP), between IFR ACFT and VFR HEL flying within the Helicopter Control Area. Minimum compound separation to be used: 2.5 NM X 500 FT."
"TMA São Paulo SECT 13
234020S 0474001W - 233900S 0474146W - 231607S 0474821W - 225137S 0473845W - 230539S 0470905W - 231626S 0470719W - 231721S 0470551W - 231759S 0470606W - 231933S 0470643W - 232059S 0470716W - 232116S 0471354W 
 

        FL245

     FL135",SÃO PAULO APP,"CONTROLE SAO PAULO
SAO PAULO CONTROL
POR/ENG
 

H24","120.050 MHZ SRY
121.500 MHZ EMERG
129.275 MHZ PRI","Separação composta poderá ser aplicada na APRX final da RWY 17 e/ou rampa de TKOF da RWY 35 de São Paulo Congonhas (SBSP), entre ACFT IFR e HEL VFR em voo na Área de Controle de Helicópteros. Separação composta mínima a ser empregada: 2,5 NM X 500 FT.
Compound separation may be applied on Final APRX of RWY 17 and/or TKOF slope at RWY 35 in São Paulo Congonhas (SBSP), between IFR ACFT and VFR HEL flying within the Helicopter Control Area. Minimum compound separation to be used: 2.5 NM X 500 FT."
"São Paulo 2 TMA
  224534S 0471040W - 225935S 0465133W - 225906S 0464455W - 230910S 0463317W - 231524S 0461243W - 232256S 0460812W - 234931S 0462636W - 235108S 0463916W - 233401S 0470420W - 231425S 0470617W - 230147S 0472415W depois, ao longo de um arco no sentido horário de / then along the clockwise arc of a circle of 15 NM de raio com centro em / radius centred on 230026S 0470804W
 

        5500 FT AMSL

     3600 FT AMSL
   

  CLASSE/CLASS:
C",FCA,"FCA
POR",135.675 MHZ PRI,
,,"FCA
POR",122.925 MHZ PRI,
